법정동명,검색어,선택된이름,region_code
서울특별시,서울특별시,%EC%97%AD%EC%82%BC%EB%8F%99,6035
서울특별시 종로구,서울특별시 종로구,%EB%B6%80%EC%95%94%EB%8F%99,6
서울특별시 중구,서울특별시 중구,%EC%8B%A0%EB%8B%B9%EB%8F%99,28
서울특별시 용산구,서울특별시 용산구,%ED%95%9C%EB%82%A8%EB%8F%99,50
서울특별시 성동구,서울특별시 성동구,%ED%96%89%EB%8B%B9%EB%8F%99,6143
서울특별시 광진구,서울특별시 광진구,%ED%99%94%EC%96%91%EB%8F%99,72
서울특별시 동대문구,서울특별시 동대문구,%EC%9E%A5%EC%95%88%EB%8F%99,6085
서울특별시 중랑구,서울특별시 중랑구,%EB%A9%B4%EB%AA%A9%EB%8F%99,6407
서울특별시 성북구,서울특별시 성북구,%EC%A2%85%EC%95%94%EB%8F%99,133
서울특별시 강북구,서울특별시 강북구,%EB%AF%B8%EC%95%84%EB%8F%99,142
서울특별시 도봉구,서울특별시 도봉구,%EC%B0%BD%EB%8F%99,6080
서울특별시 노원구,서울특별시 노원구,%EC%83%81%EA%B3%84%EB%8F%99,6073
서울특별시 은평구,서울특별시 은평구,%EC%A7%84%EA%B4%80%EB%8F%99,205
서울특별시 서대문구,서울특별시 서대문구,%EC%97%B0%ED%9D%AC%EB%8F%99,211
서울특별시 마포구,서울특별시 마포구,%EC%83%81%EC%95%94%EB%8F%99,237
서울특별시 양천구,서울특별시 양천구,%EB%AA%A9%EB%8F%99,6190
서울특별시 강서구,서울특별시 강서구,%ED%99%94%EA%B3%A1%EB%8F%99,6057
서울특별시 구로구,서울특별시 구로구,%EA%B5%AC%EB%A1%9C%EB%8F%99,6064
서울특별시 금천구,서울특별시 금천구,%EA%B0%80%EC%82%B0%EB%8F%99,295
서울특별시 영등포구,서울특별시 영등포구,%EC%97%AC%EC%9D%98%EB%8F%84%EB%8F%99,6216
서울특별시 동작구,서울특별시 동작구,%EC%83%81%EB%8F%84%EB%8F%99,6093
서울특별시 관악구,서울특별시 관악구,%EC%8B%A0%EB%A6%BC%EB%8F%99,355
서울특별시 서초구,서울특별시 서초구,%EC%8B%A0%EB%A6%BC%EB%8F%99,355
서울특별시 강남구,서울특별시 강남구,%EC%97%AD%EC%82%BC%EB%8F%99,6035
서울특별시 송파구,서울특별시 송파구,%EB%AC%B8%EC%A0%95%EB%8F%99,6184
서울특별시 강동구,서울특별시 강동구,%EA%B8%B8%EB%8F%99,448
부산광역시,부산광역시,%EC%A0%95%EA%B4%80%EC%9D%8D,4121
부산광역시 중구,부산광역시 중구,%EC%98%81%EC%A3%BC%EB%8F%99,6013
부산광역시 서구,부산광역시 서구,%EC%95%94%EB%82%A8%EB%8F%99,475
부산광역시 동구,부산광역시 동구,%EC%B4%88%EB%9F%89%EB%8F%99,5903
부산광역시 영도구,부산광역시 영도구,%EB%8F%99%EC%82%BC%EB%8F%99,5968
부산광역시 부산진구,부산광역시 부산진구,%EB%B6%80%EC%A0%84%EB%8F%99,5918
부산광역시 동래구,부산광역시 동래구,%EC%98%A8%EC%B2%9C%EB%8F%99,5910
부산광역시 남구,부산광역시 남구,%EB%8C%80%EC%97%B0%EB%8F%99,5898
부산광역시 북구,부산광역시 북구,%ED%99%94%EB%AA%85%EB%8F%99,5924
부산광역시 해운대구,부산광역시 해운대구,%EC%9A%B0%EB%8F%99,6026
부산광역시 사하구,부산광역시 사하구,%ED%95%98%EB%8B%A8%EB%8F%99,5933
부산광역시 금정구,부산광역시 금정구,%EC%9E%A5%EC%A0%84%EB%8F%99,5894
부산광역시 강서구,부산광역시 강서구,%EB%AA%85%EC%A7%80%EB%8F%99,5873
부산광역시 연제구,부산광역시 연제구,%EC%97%B0%EC%82%B0%EB%8F%99,5960
부산광역시 수영구,부산광역시 수영구,%EA%B4%91%EC%95%88%EB%8F%99,5956
부산광역시 사상구,부산광역시 사상구,%EA%B4%98%EB%B2%95%EB%8F%99,662
부산광역시 기장군,부산광역시 기장군,%EC%A0%95%EA%B4%80%EC%9D%8D,4121
대구광역시,대구광역시,%EB%8B%A4%EC%82%AC%EC%9D%8D,817
대구광역시 중구,대구광역시 중구,%EB%82%A8%EC%82%B0%EB%8F%99,5682
대구광역시 동구,대구광역시 동구,%EC%9C%A8%ED%95%98%EB%8F%99,5616
대구광역시 서구,대구광역시 서구,%ED%8F%89%EB%A6%AC%EB%8F%99,5655
대구광역시 남구,대구광역시 남구,%EB%8C%80%EB%AA%85%EB%8F%99,5563
대구광역시 북구,대구광역시 북구,%EB%8F%99%EC%B2%9C%EB%8F%99,763
대구광역시 수성구,대구광역시 수성구,%EB%B2%94%EC%96%B4%EB%8F%99,5663
대구광역시 달서구,대구광역시 달서구,%EC%9B%94%EC%84%B1%EB%8F%99,5572
대구광역시 달성군,대구광역시 달성군,%EB%8B%A4%EC%82%AC%EC%9D%8D,817
대구광역시 군위군,대구광역시 군위군,%EA%B5%B0%EC%9C%84%EC%9D%8D,3327
인천광역시,인천광역시,%EA%B5%AC%EC%9B%94%EB%8F%99,6496
인천광역시 중구,인천광역시 중구,%EC%9A%B4%EC%84%9C%EB%8F%99,837
인천광역시 동구,인천광역시 동구,%EC%86%A1%EB%A6%BC%EB%8F%99,6506
인천광역시 미추홀구,인천광역시 미추홀구,%EC%A3%BC%EC%95%88%EB%8F%99,6514
인천광역시 연수구,인천광역시 연수구,%EC%86%A1%EB%8F%84%EB%8F%99,6543
인천광역시 남동구,인천광역시 남동구,%EA%B5%AC%EC%9B%94%EB%8F%99,6496
인천광역시 부평구,인천광역시 부평구,%EB%B6%80%ED%8F%89%EB%8F%99,6519
인천광역시 계양구,인천광역시 계양구,%EC%9E%91%EC%A0%84%EB%8F%99,6489
인천광역시 서구,인천광역시 서구,%EB%8B%B9%ED%95%98%EB%8F%99,965
인천광역시 강화군,인천광역시 강화군,%EA%B0%95%ED%99%94%EC%9D%8D,969
인천광역시 옹진군,인천광역시 옹진군,%EC%98%81%ED%9D%A5%EB%A9%B4,990
광주광역시,광주광역시,%EC%8B%A0%EC%B0%BD%EB%8F%99,1093
광주광역시 동구,광주광역시 동구,%EA%B3%84%EB%A6%BC%EB%8F%99,5489
광주광역시 서구,광주광역시 서구,%EC%B9%98%ED%8F%89%EB%8F%99,1015
광주광역시 남구,광주광역시 남구,%EC%A7%84%EC%9B%94%EB%8F%99,5485
광주광역시 북구,광주광역시 북구,%EC%9A%A9%EB%B4%89%EB%8F%99,1051
광주광역시 광산구,광주광역시 광산구,%EC%8B%A0%EC%B0%BD%EB%8F%99,1093
대전광역시,대전광역시,%EB%8F%84%EC%95%88%EB%8F%99,5792
대전광역시 동구,대전광역시 동구,%EC%9A%A9%EC%A0%84%EB%8F%99,1106
대전광역시 중구,대전광역시 중구,%EB%8C%80%ED%9D%A5%EB%8F%99,1116
대전광역시 서구,대전광역시 서구,%EB%91%94%EC%82%B0%EB%8F%99,5793
대전광역시 유성구,대전광역시 유성구,%EB%B4%89%EB%AA%85%EB%8F%99,4238
대전광역시 대덕구,대전광역시 대덕구,%EC%86%A1%EC%B4%8C%EB%8F%99,1171
울산광역시,울산광역시,%EC%82%BC%EC%82%B0%EB%8F%99,1201
울산광역시 중구,울산광역시 중구,%ED%83%9C%ED%99%94%EB%8F%99,1188
울산광역시 남구,울산광역시 남구,%EC%82%BC%EC%82%B0%EB%8F%99,1201
울산광역시 동구,울산광역시 동구,%EB%B0%A9%EC%96%B4%EB%8F%99,1210
울산광역시 북구,울산광역시 북구,%ED%99%94%EB%B4%89%EB%8F%99,6458
울산광역시 울주군,울산광역시 울주군,%EB%B2%94%EC%84%9C%EC%9D%8D,1232
세종특별자치시,세종특별자치시,%EC%A1%B0%EC%B9%98%EC%9B%90%EC%9D%8D,1243
경기도,경기도,%EB%8C%80%ED%99%94%EB%8F%99,1568
경기도 수원시,경기도 수원시,%EC%9D%B8%EA%B3%84%EB%8F%99,1291
경기도 수원시 장안구,경기도 수원시 장안구,%EC%A0%95%EC%9E%90%EB%8F%99,4543
경기도 수원시 권선구,경기도 수원시 권선구,%EA%B6%8C%EC%84%A0%EB%8F%99,4526
경기도 수원시 팔달구,경기도 수원시 팔달구,%EC%9D%B8%EA%B3%84%EB%8F%99,1291
경기도 수원시 영통구,경기도 수원시 영통구,%EC%9B%90%EC%B2%9C%EB%8F%99,1298
경기도 성남시,경기도 성남시,%EC%A0%95%EC%9E%90%EB%8F%99,1339
경기도 성남시 수정구,경기도 성남시 수정구,%EC%9C%84%EB%A1%80%EB%8F%99,3971
경기도 성남시 중원구,경기도 성남시 중원구,%EC%84%B1%EB%82%A8%EB%8F%99,1323
경기도 성남시 분당구,경기도 성남시 분당구,%EC%A0%95%EC%9E%90%EB%8F%99,1339
경기도 의정부시,경기도 의정부시,%EC%9D%98%EC%A0%95%EB%B6%80%EB%8F%99,4745
경기도 안양시,경기도 안양시,%EA%B4%80%EC%96%91%EB%8F%99,4637
경기도 안양시 만안구,경기도 안양시 만안구,%EC%95%88%EC%96%916%EB%8F%99,1380
경기도 안양시 동안구,경기도 안양시 동안구,%EA%B4%80%EC%96%91%EB%8F%99,4637
경기도 부천시,경기도 부천시,%EC%A4%91%EB%8F%99,1420
경기도 부천시 원미구 ,경기도 부천시 원미구,%EC%86%A1%EB%8F%84%EB%8F%99,6543
경기도 부천시 소사구 ,경기도 부천시 소사구,%EC%86%A1%EB%8F%84%EB%8F%99,6543
경기도 부천시 오정구 ,경기도 부천시 오정구,%EC%86%A1%EB%8F%84%EB%8F%99,6543
경기도 광명시,경기도 광명시,%EC%9D%BC%EC%A7%81%EB%8F%99,4440
경기도 평택시,경기도 평택시,%EA%B3%A0%EB%8D%95%EB%8F%99,11139
경기도 동두천시,경기도 동두천시,%EC%A7%80%ED%96%89%EB%8F%99,4483
경기도 안산시,경기도 안산시,%EA%B3%A0%EC%9E%94%EB%8F%99,1517
경기도 안산시 상록구,경기도 안산시 상록구,%EC%82%AC%EB%8F%99,1504
경기도 안산시 단원구,경기도 안산시 단원구,%EA%B3%A0%EC%9E%94%EB%8F%99,1517
경기도 고양시,경기도 고양시,%EB%8C%80%ED%99%94%EB%8F%99,1568
경기도 고양시 덕양구,경기도 고양시 덕양구,%ED%96%89%EC%8B%A0%EB%8F%99,4410
경기도 고양시 일산동구,경기도 고양시 일산동구,%EC%A4%91%EC%82%B0%EB%8F%99,1551
경기도 고양시 일산서구,경기도 고양시 일산서구,%EB%8C%80%ED%99%94%EB%8F%99,1568
경기도 과천시,경기도 과천시,%EB%B3%84%EC%96%91%EB%8F%99,1574
경기도 구리시,경기도 구리시,%EC%9D%B8%EC%B0%BD%EB%8F%99,1581
경기도 남양주시,경기도 남양주시,%ED%99%94%EB%8F%84%EC%9D%8D,1590
경기도 오산시,경기도 오산시,%EA%B6%90%EB%8F%99,4687
경기도 시흥시,경기도 시흥시,%EB%B0%B0%EA%B3%A7%EB%8F%99,4245
경기도 군포시,경기도 군포시,%EC%82%B0%EB%B3%B8%EB%8F%99,4464
경기도 의왕시,경기도 의왕시,%EC%98%A4%EC%A0%84%EB%8F%99,1646
경기도 하남시,경기도 하남시,%EB%A7%9D%EC%9B%94%EB%8F%99,4814
경기도 용인시,경기도 용인시,%EC%84%B1%EB%B3%B5%EB%8F%99,1697
경기도 용인시 처인구,경기도 용인시 처인구,%EC%97%AD%EB%B6%81%EB%8F%99,4726
경기도 용인시 기흥구,경기도 용인시 기흥구,%EA%B5%AC%EA%B0%88%EB%8F%99,1679
경기도 용인시 수지구,경기도 용인시 수지구,%EC%84%B1%EB%B3%B5%EB%8F%99,1697
경기도 파주시,경기도 파주시,%EB%AC%B8%EC%82%B0%EC%9D%8D,1699
경기도 이천시,경기도 이천시,%EB%B6%80%EB%B0%9C%EC%9D%8D,1722
경기도 안성시,경기도 안성시,%EA%B3%B5%EB%8F%84%EC%9D%8D,1736
경기도 김포시,경기도 김포시,%EC%9E%A5%EA%B8%B0%EB%8F%99,1762
경기도 화성시,경기도 화성시,%ED%96%A5%EB%82%A8%EC%9D%8D,1768
경기도 광주시,경기도 광주시,%EC%98%A4%ED%8F%AC%EC%9D%8D,1792
경기도 양주시,경기도 양주시,%EC%98%A5%EC%A0%95%EB%8F%99,4656
경기도 포천시,경기도 포천시,%EC%86%8C%ED%9D%98%EC%9D%8D,1815
경기도 여주시,경기도 여주시,%EA%B0%80%EB%82%A8%EC%9D%8D,1830
경기도 연천군,경기도 연천군,%EC%A0%84%EA%B3%A1%EC%9D%8D,1844
경기도 가평군,경기도 가평군,%EA%B0%80%ED%8F%89%EC%9D%8D,1854
경기도 양평군,경기도 양평군,%EC%96%91%ED%8F%89%EC%9D%8D,1861
충청북도,충청북도,%EA%B8%88%EC%99%95%EC%9D%8D,2244
충청북도 청주시,충청북도 청주시,%EC%98%A4%EC%B0%BD%EC%9D%8D,2134
충청북도 청주시 상당구,충청북도 청주시 상당구,%EC%9A%A9%EC%95%94%EB%8F%99,7169
충청북도 청주시 서원구,충청북도 청주시 서원구,%EB%B6%84%ED%8F%89%EB%8F%99,2116
충청북도 청주시 흥덕구,충청북도 청주시 흥덕구,%EA%B0%80%EA%B2%BD%EB%8F%99,2127
충청북도 청주시 청원구,충청북도 청주시 청원구,%EC%98%A4%EC%B0%BD%EC%9D%8D,2134
충청북도 충주시,충청북도 충주시,%EC%97%B0%EC%88%98%EB%8F%99,2165
충청북도 제천시,충청북도 제천시,%EC%9E%A5%EB%9D%BD%EB%8F%99,7146
충청북도 보은군,충청북도 보은군,%EB%B3%B4%EC%9D%80%EC%9D%8D,2186
충청북도 옥천군,충청북도 옥천군,%EC%98%A5%EC%B2%9C%EC%9D%8D,2198
충청북도 영동군,충청북도 영동군,%EC%98%81%EB%8F%99%EC%9D%8D,2208
충청북도 증평군,충청북도 증평군,%EC%A6%9D%ED%8F%89%EC%9D%8D,2220
충청북도 진천군,충청북도 진천군,%EB%8D%95%EC%82%B0%EC%9D%8D,2224
충청북도 괴산군,충청북도 괴산군,%EA%B4%B4%EC%82%B0%EC%9D%8D,2231
충청북도 음성군,충청북도 음성군,%EA%B8%88%EC%99%95%EC%9D%8D,2244
충청북도 단양군,충청북도 단양군,%EB%8B%A8%EC%96%91%EC%9D%8D,2253
충청남도,충청남도,%EC%86%A1%EC%95%85%EC%9D%8D,2388
충청남도 천안시,충청남도 천안시,%EB%B6%88%EB%8B%B9%EB%8F%99,2292
충청남도 천안시 동남구,충청남도 천안시 동남구,%EC%8B%A0%EB%B0%A9%EB%8F%99,2278
충청남도 천안시 서북구,충청남도 천안시 서북구,%EB%B6%88%EB%8B%B9%EB%8F%99,2292
충청남도 공주시,충청남도 공주시,%EC%8B%A0%EA%B4%80%EB%8F%99,2310
충청남도 보령시,충청남도 보령시,%EB%8F%99%EB%8C%80%EB%8F%99,7064
충청남도 아산시,충청남도 아산시,%EB%B0%B0%EB%B0%A9%EC%9D%8D,2333
충청남도 서산시,충청남도 서산시,%EC%98%88%EC%B2%9C%EB%8F%99,7075
충청남도 논산시,충청남도 논산시,%EC%B7%A8%EC%95%94%EB%8F%99,2379
충청남도 계룡시,충청남도 계룡시,%EC%97%84%EC%82%AC%EB%A9%B4,2383
충청남도 당진시,충청남도 당진시,%EC%86%A1%EC%95%85%EC%9D%8D,2388
충청남도 금산군,충청남도 금산군,%EA%B8%88%EC%82%B0%EC%9D%8D,2402
충청남도 부여군,충청남도 부여군,%EB%B6%80%EC%97%AC%EC%9D%8D,2413
충청남도 서천군,충청남도 서천군,%EC%84%9C%EC%B2%9C%EC%9D%8D,2431
충청남도 청양군,충청남도 청양군,%EC%B2%AD%EC%96%91%EC%9D%8D,2444
충청남도 홍성군,충청남도 홍성군,%ED%99%8D%EC%84%B1%EC%9D%8D,2455
충청남도 예산군,충청남도 예산군,%EC%98%88%EC%82%B0%EC%9D%8D,2467
충청남도 태안군,충청남도 태안군,%ED%83%9C%EC%95%88%EC%9D%8D,2480
전라남도,전라남도,%EB%B9%9B%EA%B0%80%EB%9E%8C%EB%8F%99,2850
전라남도 목포시,전라남도 목포시,%EC%98%A5%EC%95%94%EB%8F%99,2770
전라남도 여수시,전라남도 여수시,%EC%9B%85%EC%B2%9C%EB%8F%99,6737
전라남도 순천시,전라남도 순천시,%ED%95%B4%EB%A3%A1%EB%A9%B4,2806
전라남도 나주시,전라남도 나주시,%EB%B9%9B%EA%B0%80%EB%9E%8C%EB%8F%99,2850
전라남도 광양시,전라남도 광양시,%EA%B4%91%EC%96%91%EC%9D%8D,2852
전라남도 담양군,전라남도 담양군,%EB%8B%B4%EC%96%91%EC%9D%8D,2865
전라남도 곡성군,전라남도 곡성군,%EA%B3%A1%EC%84%B1%EC%9D%8D,2878
전라남도 구례군,전라남도 구례군,%EA%B5%AC%EB%A1%80%EC%9D%8D,2890
전라남도 고흥군,전라남도 고흥군,%EA%B3%A0%ED%9D%A5%EC%9D%8D,2899
전라남도 보성군,전라남도 보성군,%EB%B3%B4%EC%84%B1%EC%9D%8D,2918
전라남도 화순군,전라남도 화순군,%ED%99%94%EC%88%9C%EC%9D%8D,2932
전라남도 장흥군,전라남도 장흥군,%EC%9E%A5%ED%9D%A5%EC%9D%8D,2947
전라남도 강진군,전라남도 강진군,%EA%B0%95%EC%A7%84%EC%9D%8D,2958
전라남도 해남군,전라남도 해남군,%ED%95%B4%EB%82%A8%EC%9D%8D,2970
전라남도 영암군,전라남도 영암군,%EC%82%BC%ED%98%B8%EC%9D%8D,2986
전라남도 무안군,전라남도 무안군,%EC%82%BC%ED%96%A5%EC%9D%8D,3000
전라남도 함평군,전라남도 함평군,%ED%95%A8%ED%8F%89%EC%9D%8D,3009
전라남도 영광군,전라남도 영광군,%EC%98%81%EA%B4%91%EC%9D%8D,3019
전라남도 장성군,전라남도 장성군,%EC%9E%A5%EC%84%B1%EC%9D%8D,3032
전라남도 완도군,전라남도 완도군,%EC%99%84%EB%8F%84%EC%9D%8D,3044
전라남도 진도군,전라남도 진도군,%EC%A7%84%EB%8F%84%EC%9D%8D,3059
전라남도 신안군,전라남도 신안군,%EC%95%95%ED%95%B4%EC%9D%8D,3071
경상북도,경상북도,%ED%95%98%EC%96%91%EC%9D%8D,3311
경상북도 포항시,경상북도 포항시,%EC%98%A4%EC%B2%9C%EC%9D%8D,3098
경상북도 포항시 남구,경상북도 포항시 남구,%EC%98%A4%EC%B2%9C%EC%9D%8D,3098
경상북도 포항시 북구,경상북도 포항시 북구,%ED%9D%A5%ED%95%B4%EC%9D%8D,3111
경상북도 경주시,경상북도 경주시,%ED%99%A9%EC%84%B1%EB%8F%99,3147
경상북도 김천시,경상북도 김천시,%EC%9C%A8%EA%B3%A1%EB%8F%99,3173
경상북도 안동시,경상북도 안동시,%EC%98%A5%EB%8F%99,3196
경상북도 구미시,경상북도 구미시,%EC%98%A5%EA%B3%84%EB%8F%99,5209
경상북도 영주시,경상북도 영주시,%EA%B0%80%ED%9D%A5%EB%8F%99,5318
경상북도 영천시,경상북도 영천시,%EB%A7%9D%EC%A0%95%EB%8F%99,5338
경상북도 상주시,경상북도 상주시,%EB%AC%B4%EC%96%91%EB%8F%99,5258
경상북도 문경시,경상북도 문경시,%EB%AA%A8%EC%A0%84%EB%8F%99,5236
경상북도 경산시,경상북도 경산시,%ED%95%98%EC%96%91%EC%9D%8D,3311
경상북도 의성군,경상북도 의성군,%EC%9D%98%EC%84%B1%EC%9D%8D,3336
경상북도 청송군,경상북도 청송군,%EC%A7%84%EB%B3%B4%EB%A9%B4,3362
경상북도 영양군,경상북도 영양군,%EC%98%81%EC%96%91%EC%9D%8D,3364
경상북도 영덕군,경상북도 영덕군,%EC%98%81%EB%8D%95%EC%9D%8D,3371
경상북도 청도군,경상북도 청도군,%EC%B2%AD%EB%8F%84%EC%9D%8D,3385
경상북도 고령군,경상북도 고령군,%EB%8B%A4%EC%82%B0%EB%A9%B4,3399
경상북도 성주군,경상북도 성주군,%EC%84%B1%EC%A3%BC%EC%9D%8D,3404
경상북도 칠곡군,경상북도 칠곡군,%EC%84%9D%EC%A0%81%EC%9D%8D,3417
경상북도 예천군,경상북도 예천군,%ED%98%B8%EB%AA%85%EB%A9%B4,3430
경상북도 봉화군,경상북도 봉화군,%EB%B4%89%ED%99%94%EC%9D%8D,3437
경상북도 울진군,경상북도 울진군,%EC%9A%B8%EC%A7%84%EC%9D%8D,3448
경상북도 울릉군,경상북도 울릉군,%EC%9A%B8%EB%A6%89%EC%9D%8D,3460
경상남도,경상남도,%EC%A7%84%EC%98%81%EC%9D%8D,3600
경상남도 창원시,경상남도 창원시,%EB%82%B4%EC%84%9C%EC%9D%8D,3504
경상남도 창원시 의창구,경상남도 창원시 의창구,%EB%B6%81%EB%A9%B4,3468
경상남도 창원시 성산구,경상남도 창원시 성산구,%EC%83%81%EB%82%A8%EB%8F%99,3478
경상남도 창원시 마산합포구,경상남도 창원시 마산합포구,%EC%9B%94%EC%98%81%EB%8F%99,3490
경상남도 창원시 마산회원구,경상남도 창원시 마산회원구,%EB%82%B4%EC%84%9C%EC%9D%8D,3504
경상남도 창원시 진해구,경상남도 창원시 진해구,%EC%9A%A9%EC%9B%90%EB%8F%99,5099
경상남도 진주시,경상남도 진주시,%EC%B6%A9%EB%AC%B4%EA%B3%B5%EB%8F%99,3565
경상남도 통영시,경상남도 통영시,%EA%B4%91%EB%8F%84%EB%A9%B4,3570
경상남도 사천시,경상남도 사천시,%EC%82%AC%EC%B2%9C%EC%9D%8D,3583
경상남도 김해시,경상남도 김해시,%EC%A7%84%EC%98%81%EC%9D%8D,3600
경상남도 밀양시,경상남도 밀양시,%EC%82%BC%EB%AC%B8%EB%8F%99,3635
경상남도 거제시,경상남도 거제시,%EA%B3%A0%ED%98%84%EB%8F%99,3658
경상남도 양산시,경상남도 양산시,%EB%AC%BC%EA%B8%88%EC%9D%8D,3662
경상남도 의령군,경상남도 의령군,%EC%9D%98%EB%A0%B9%EC%9D%8D,3677
경상남도 함안군,경상남도 함안군,%EC%B9%A0%EC%9B%90%EC%9D%8D,3692
경상남도 창녕군,경상남도 창녕군,%EC%B0%BD%EB%85%95%EC%9D%8D,3702
경상남도 고성군,경상남도 고성군,%EA%B3%A0%EC%84%B1%EC%9D%8D,3717
경상남도 남해군,경상남도 남해군,%EB%82%A8%ED%95%B4%EC%9D%8D,3732
경상남도 하동군,경상남도 하동군,%ED%95%98%EB%8F%99%EC%9D%8D,3743
경상남도 산청군,경상남도 산청군,%EC%82%B0%EC%B2%AD%EC%9D%8D,3757
경상남도 함양군,경상남도 함양군,%ED%95%A8%EC%96%91%EC%9D%8D,3769
경상남도 거창군,경상남도 거창군,%EA%B1%B0%EC%B0%BD%EC%9D%8D,3781
경상남도 합천군,경상남도 합천군,%ED%95%A9%EC%B2%9C%EC%9D%8D,3794
제주특별자치도,제주특별자치도,%EB%85%B8%ED%98%95%EB%8F%99,3835
제주특별자치도 제주시,제주특별자치도 제주시,%EB%85%B8%ED%98%95%EB%8F%99,3835
제주특별자치도 서귀포시,제주특별자치도 서귀포시,%EB%8C%80%EC%A0%95%EC%9D%8D,3840
강원특별자치도,강원특별자치도,%EC%B2%9C%EA%B3%A1%EB%8F%99,1950
강원특별자치도 춘천시,강원특별자치도 춘천시,%ED%87%B4%EA%B3%84%EB%8F%99,1898
강원특별자치도 원주시,강원특별자치도 원주시,%EB%8B%A8%EA%B5%AC%EB%8F%99,1916
강원특별자치도 강릉시,강원특별자치도 강릉시,%EA%B5%90%EB%8F%99,4253
강원특별자치도 동해시,강원특별자치도 동해시,%EC%B2%9C%EA%B3%A1%EB%8F%99,1950
강원특별자치도 태백시,강원특별자치도 태백시,%ED%99%A9%EC%A7%80%EB%8F%99,1961
강원특별자치도 속초시,강원특별자치도 속초시,%EC%A1%B0%EC%96%91%EB%8F%99,1975
강원특별자치도 삼척시,강원특별자치도 삼척시,%EA%B5%90%EB%8F%99,1989
강원특별자치도 홍천군,강원특별자치도 홍천군,%ED%99%8D%EC%B2%9C%EC%9D%8D,1993
강원특별자치도 횡성군,강원특별자치도 횡성군,%ED%9A%A1%EC%84%B1%EC%9D%8D,2004
강원특별자치도 영월군,강원특별자치도 영월군,%EC%98%81%EC%9B%94%EC%9D%8D,2014
강원특별자치도 평창군,강원특별자치도 평창군,%ED%8F%89%EC%B0%BD%EC%9D%8D,2025
강원특별자치도 정선군,강원특별자치도 정선군,%EC%A0%95%EC%84%A0%EC%9D%8D,2035
강원특별자치도 철원군,강원특별자치도 철원군,%EB%8F%99%EC%86%A1%EC%9D%8D,2049
강원특별자치도 화천군,강원특별자치도 화천군,%ED%99%94%EC%B2%9C%EC%9D%8D,2059
강원특별자치도 양구군,강원특별자치도 양구군,%EC%96%91%EA%B5%AC%EC%9D%8D,2065
강원특별자치도 인제군,강원특별자치도 인제군,%EC%9D%B8%EC%A0%9C%EC%9D%8D,2071
강원특별자치도 고성군,강원특별자치도 고성군,%ED%86%A0%EC%84%B1%EB%A9%B4,2083
강원특별자치도 양양군,강원특별자치도 양양군,%EC%96%91%EC%96%91%EC%9D%8D,2086
전북특별자치도,전북특별자치도,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 전주시,전북특별자치도 전주시,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 전주시 완산구,전북특별자치도 전주시 완산구,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 전주시 덕진구,전북특별자치도 전주시 덕진구,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 군산시,전북특별자치도 군산시,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 익산시,전북특별자치도 익산시,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 정읍시,전북특별자치도 정읍시,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 남원시,전북특별자치도 남원시,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 김제시,전북특별자치도 김제시,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 완주군,전북특별자치도 완주군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 진안군,전북특별자치도 진안군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 무주군,전북특별자치도 무주군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 장수군,전북특별자치도 장수군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 임실군,전북특별자치도 임실군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 순창군,전북특별자치도 순창군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 고창군,전북특별자치도 고창군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
전북특별자치도 부안군,전북특별자치도 부안군,%EC%86%A1%EB%8F%84%EB%8F%99,6543
